DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,751800000.0,0.12,6265000000
30Sep2024,4633600000.0,1.09,4251009174
30Jun2024,717600000.0,0.11,6523636363
31Mar2024,777600000.0,0.12,6480000000
31Dec2023,704800000.0,0.11,6407272727
30Sep2023,887600000.0,0.14,6339999999
